staff_id,task_id,pref_score
S024,T0022,0.832
S017,T0022,0.74
S021,T0022,0.774
S013,T0022,0.896
S019,T0023,0.774
S015,T0023,0.769
S002,T0023,0.824
S003,T0023,0.94
S011,T0023,0.698
S015,T0024,0.804
S002,T0024,0.74
S003,T0024,0.615
S009,T0024,0.668
S008,T0024,0.822
S004,T0025,0.931
S014,T0025,0.771
S012,T0025,0.769
S018,T0025,0.702
S002,T0025,0.894
S017,T0026,0.892
S011,T0026,0.881
S007,T0026,0.943
S021,T0026,0.921
S023,T0026,0.84
S024,T0027,0.641
S023,T0027,0.766
S009,T0027,0.85
S010,T0027,0.615
S006,T0027,0.883
S017,T0028,0.814
S022,T0028,0.919
S011,T0028,0.926
S016,T0028,0.825
S021,T0028,0.623
S022,T0029,0.905
S006,T0029,0.709
S004,T0029,0.665
S009,T0029,0.843
S010,T0029,0.865
S023,T0030,0.854
S020,T0030,0.62
S021,T0030,0.904
S005,T0030,0.869
S024,T0030,0.875
S001,T0031,0.924
S019,T0031,0.679
S009,T0031,0.849
S016,T0031,0.614
S021,T0031,0.909
S016,T0032,0.641
S008,T0032,0.654
S021,T0032,0.751
S020,T0032,0.763
S025,T0032,0.842
S001,T0033,0.93
S021,T0033,0.716
S009,T0033,0.924
S022,T0033,0.919
S025,T0033,0.702
S019,T0034,0.62
S020,T0034,0.638
S010,T0034,0.676
S015,T0034,0.947
S025,T0034,0.623
S004,T0035,0.865
S023,T0035,0.784
S018,T0035,0.701
S002,T0035,0.926
S016,T0035,0.727
S014,T0036,0.936
S011,T0036,0.703
S013,T0036,0.901
S003,T0036,0.9
S002,T0036,0.786
S007,T0037,0.643
S014,T0037,0.752
S008,T0037,0.84
S016,T0037,0.867
S003,T0037,0.794
S021,T0038,0.747
S017,T0038,0.604
S009,T0038,0.631
S019,T0038,0.664
S018,T0038,0.945
S020,T0039,0.876
S005,T0039,0.805
S006,T0039,0.927
S018,T0039,0.694
S009,T0039,0.879
S002,T0040,0.933
S023,T0040,0.668
S015,T0040,0.688
S014,T0040,0.917
S004,T0040,0.793
S001,T0041,0.753
S009,T0041,0.645
S015,T0041,0.749
S023,T0041,0.801
S020,T0041,0.86
S013,T0042,0.743
S021,T0042,0.63
S008,T0042,0.797
S022,T0042,0.686
S020,T0042,0.8
S013,T0043,0.817
S001,T0043,0.673
S003,T0043,0.686
S024,T0043,0.86
S015,T0043,0.945
S011,T0044,0.677
S021,T0044,0.903
S004,T0044,0.778
S010,T0044,0.744
S001,T0044,0.74
S007,T0045,0.694
S009,T0045,0.672
S002,T0045,0.832
S003,T0045,0.672
S023,T0045,0.752
S007,T0046,0.818
S020,T0046,0.631
S001,T0046,0.857
S014,T0046,0.819
S010,T0046,0.793
S022,T0047,0.679
S013,T0047,0.68
S017,T0047,0.811
S003,T0047,0.809
S024,T0047,0.949
S015,T0048,0.679
S014,T0048,0.87
S007,T0048,0.789
S021,T0048,0.943
S010,T0048,0.72
S023,T0049,0.868
S013,T0049,0.691
S001,T0049,0.815
S014,T0049,0.677
S012,T0049,0.739
S007,T0050,0.804
S024,T0050,0.887
S014,T0050,0.893
S002,T0050,0.737
S016,T0050,0.807
S023,T0051,0.803
S025,T0051,0.688
S011,T0051,0.847
S024,T0051,0.796
S012,T0051,0.791
S001,T0052,0.883
S005,T0052,0.778
S025,T0052,0.608
S019,T0052,0.865
S011,T0052,0.72
S016,T0053,0.771
S011,T0053,0.917
S006,T0053,0.939
S021,T0053,0.837
S022,T0053,0.634
S002,T0054,0.608
S015,T0054,0.702
S017,T0054,0.751
S018,T0054,0.618
S019,T0054,0.603
S018,T0055,0.733
S023,T0055,0.696
S006,T0055,0.725
S012,T0055,0.788
S007,T0055,0.608
S012,T0056,0.819
S013,T0056,0.892
S022,T0056,0.814
S005,T0056,0.672
S010,T0056,0.609
S003,T0057,0.693
S021,T0057,0.771
S001,T0057,0.843
S024,T0057,0.61
S007,T0057,0.887
S011,T0058,0.845
S007,T0058,0.718
S020,T0058,0.907
S023,T0058,0.676
S012,T0058,0.766
S011,T0059,0.813
S001,T0059,0.945
S015,T0059,0.678
S019,T0059,0.678
S010,T0059,0.817
S005,T0060,0.661
S021,T0060,0.664
S011,T0060,0.807
S015,T0060,0.867
S014,T0060,0.766
