staff_id,task_id,pref_score
S013,T0009,0.812
S014,T0009,0.616
S064,T0009,0.817
S048,T0009,0.865
S023,T0009,0.938
S070,T0009,0.761
S001,T0009,0.765
S055,T0009,0.853
S044,T0009,0.865
S047,T0009,0.739
S033,T0009,0.686
S009,T0009,0.618
S059,T0009,0.736
S018,T0009,0.892
S062,T0009,0.873
S022,T0010,0.638
S035,T0010,0.828
S039,T0010,0.629
S027,T0010,0.735
S041,T0010,0.721
S074,T0010,0.905
S014,T0010,0.684
S038,T0010,0.642
S024,T0010,0.793
S061,T0010,0.615
S032,T0010,0.906
S053,T0010,0.654
S075,T0010,0.638
S028,T0010,0.82
S056,T0010,0.618
S062,T0010,0.799
S052,T0011,0.704
S003,T0011,0.684
S039,T0011,0.839
S069,T0011,0.818
S050,T0011,0.915
S044,T0011,0.856
S026,T0011,0.696
S045,T0011,0.715
S055,T0011,0.779
S008,T0011,0.93
S023,T0011,0.609
S022,T0011,0.922
S080,T0011,0.867
S064,T0011,0.619
S031,T0011,0.641
S048,T0011,0.728
S044,T0012,0.811
S057,T0012,0.862
S006,T0012,0.859
S020,T0012,0.697
S053,T0012,0.883
S064,T0012,0.765
S069,T0012,0.868
S042,T0012,0.609
S043,T0012,0.751
S066,T0012,0.8
S026,T0012,0.77
S009,T0012,0.747
S038,T0012,0.63
S001,T0012,0.611
S008,T0012,0.743
S071,T0012,0.612
S022,T0013,0.795
S067,T0013,0.948
S041,T0013,0.665
S078,T0013,0.602
S003,T0013,0.764
S025,T0013,0.755
S045,T0013,0.919
S063,T0013,0.706
S004,T0013,0.95
S076,T0013,0.682
S016,T0013,0.795
S028,T0013,0.904
S066,T0013,0.662
S034,T0013,0.879
S037,T0013,0.888
S079,T0013,0.615
S041,T0014,0.891
S010,T0014,0.789
S021,T0014,0.717
S065,T0014,0.78
S079,T0014,0.818
S037,T0014,0.814
S005,T0014,0.937
S053,T0014,0.921
S032,T0014,0.684
S038,T0014,0.789
S059,T0014,0.692
S069,T0014,0.878
S075,T0014,0.824
S027,T0014,0.866
S023,T0014,0.686
S062,T0014,0.78
S028,T0015,0.639
S059,T0015,0.748
S080,T0015,0.736
S012,T0015,0.906
S069,T0015,0.636
S049,T0015,0.635
S077,T0015,0.949
S055,T0015,0.901
S063,T0015,0.707
S041,T0015,0.715
S021,T0015,0.85
S004,T0015,0.9
S054,T0015,0.608
S035,T0015,0.946
S032,T0015,0.789
S030,T0015,0.905
S064,T0016,0.912
S005,T0016,0.794
S002,T0016,0.925
S062,T0016,0.662
S022,T0016,0.871
S074,T0016,0.885
S050,T0016,0.742
S067,T0016,0.83
S016,T0016,0.83
S019,T0016,0.752
S026,T0016,0.604
S055,T0016,0.641
S047,T0016,0.644
S011,T0016,0.612
S040,T0016,0.941
S025,T0016,0.904
S053,T0017,0.826
S062,T0017,0.645
S069,T0017,0.662
S040,T0017,0.6
S065,T0017,0.604
S038,T0017,0.912
S054,T0017,0.724
S018,T0017,0.624
S048,T0017,0.766
S014,T0017,0.807
S002,T0017,0.835
S055,T0017,0.714
S029,T0017,0.617
S047,T0017,0.922
S039,T0017,0.632
S075,T0017,0.688
S052,T0018,0.926
S072,T0018,0.913
S015,T0018,0.608
S031,T0018,0.872
S038,T0018,0.916
S004,T0018,0.628
S069,T0018,0.696
S055,T0018,0.894
S022,T0018,0.835
S008,T0018,0.928
S080,T0018,0.777
S065,T0018,0.717
S053,T0018,0.639
S020,T0018,0.937
S035,T0018,0.753
S060,T0018,0.614
S011,T0019,0.831
S065,T0019,0.884
S004,T0019,0.793
S074,T0019,0.949
S079,T0019,0.617
S066,T0019,0.931
S067,T0019,0.647
S017,T0019,0.9
S062,T0019,0.706
S003,T0019,0.625
S038,T0019,0.775
S052,T0019,0.79
S078,T0019,0.626
S046,T0019,0.829
S073,T0019,0.8
S010,T0019,0.749
S001,T0020,0.651
S073,T0020,0.716
S038,T0020,0.85
S009,T0020,0.737
S020,T0020,0.927
S057,T0020,0.693
S068,T0020,0.711
S019,T0020,0.657
S078,T0020,0.855
S013,T0020,0.831
S075,T0020,0.657
S059,T0020,0.853
S054,T0020,0.616
S034,T0020,0.663
S061,T0020,0.74
S017,T0020,0.671
S055,T0021,0.63
S004,T0021,0.883
S069,T0021,0.672
S073,T0021,0.791
S014,T0021,0.606
S041,T0021,0.671
S029,T0021,0.652
S048,T0021,0.888
S052,T0021,0.713
S011,T0021,0.764
S015,T0021,0.789
S019,T0021,0.735
S061,T0021,0.635
S045,T0021,0.923
S008,T0021,0.636
S047,T0021,0.743
S040,T0022,0.884
S047,T0022,0.879
S076,T0022,0.822
S016,T0022,0.702
S080,T0022,0.847
S009,T0022,0.894
S013,T0022,0.669
S070,T0022,0.704
S058,T0022,0.692
S026,T0022,0.794
S018,T0022,0.72
S007,T0022,0.7
S027,T0022,0.748
S065,T0022,0.943
S050,T0022,0.806
S019,T0022,0.649
S048,T0023,0.742
S038,T0023,0.914
S033,T0023,0.733
S019,T0023,0.667
S040,T0023,0.71
S031,T0023,0.916
S073,T0023,0.71
S068,T0023,0.836
S066,T0023,0.866
S014,T0023,0.674
S079,T0023,0.791
S004,T0023,0.817
S034,T0023,0.885
S011,T0023,0.879
S078,T0023,0.631
S015,T0023,0.733
S041,T0024,0.662
S032,T0024,0.8
S054,T0024,0.907
S010,T0024,0.915
S079,T0024,0.821
S077,T0024,0.833
S028,T0024,0.881
S043,T0024,0.656
S036,T0024,0.716
S051,T0024,0.626
S067,T0024,0.688
S025,T0024,0.935
S013,T0024,0.603
S034,T0024,0.925
S064,T0024,0.677
S021,T0024,0.937
S024,T0025,0.863
S077,T0025,0.677
S036,T0025,0.728
S055,T0025,0.8
S044,T0025,0.907
S045,T0025,0.937
S013,T0025,0.948
S060,T0025,0.699
S056,T0025,0.894
S071,T0025,0.673
S038,T0025,0.824
S058,T0025,0.797
S064,T0025,0.79
S021,T0025,0.865
S028,T0025,0.695
S068,T0025,0.871
S080,T0026,0.823
S001,T0026,0.88
S026,T0026,0.908
S041,T0026,0.882
S048,T0026,0.935
S021,T0026,0.838
S036,T0026,0.712
S005,T0026,0.872
S016,T0026,0.783
S051,T0026,0.924
S037,T0026,0.773
S056,T0026,0.857
S061,T0026,0.61
S076,T0026,0.888
S002,T0026,0.799
S046,T0026,0.884
S062,T0027,0.775
S079,T0027,0.787
S071,T0027,0.727
S021,T0027,0.896
S067,T0027,0.725
S055,T0027,0.63
S042,T0027,0.672
S031,T0027,0.892
S015,T0027,0.778
S077,T0027,0.731
S036,T0027,0.689
S011,T0027,0.686
S046,T0027,0.662
S028,T0027,0.907
S066,T0027,0.622
S038,T0027,0.838
S001,T0028,0.854
S030,T0028,0.703
S027,T0028,0.743
S040,T0028,0.69
S059,T0028,0.714
S011,T0028,0.846
S053,T0028,0.822
S077,T0028,0.852
S013,T0028,0.894
S054,T0028,0.849
S065,T0028,0.836
S067,T0028,0.715
S049,T0028,0.934
S014,T0028,0.888
S043,T0028,0.707
S068,T0028,0.66
S065,T0029,0.923
S044,T0029,0.906
S072,T0029,0.697
S079,T0029,0.674
S041,T0029,0.83
S031,T0029,0.676
S059,T0029,0.781
S020,T0029,0.791
S016,T0029,0.742
S056,T0029,0.809
S052,T0029,0.714
S001,T0029,0.781
S061,T0029,0.893
S070,T0029,0.7
S033,T0029,0.788
S021,T0029,0.712
S034,T0030,0.702
S068,T0030,0.741
S029,T0030,0.771
S056,T0030,0.812
S019,T0030,0.937
S064,T0030,0.848
S066,T0030,0.766
S004,T0030,0.74
S038,T0030,0.877
S048,T0030,0.735
S032,T0030,0.622
S020,T0030,0.789
S043,T0030,0.833
S050,T0030,0.63
S058,T0030,0.64
S070,T0030,0.635
S059,T0031,0.683
S035,T0031,0.809
S047,T0031,0.646
S058,T0031,0.8
S027,T0031,0.77
S049,T0031,0.71
S071,T0031,0.627
S032,T0031,0.75
S037,T0031,0.66
S007,T0031,0.687
S046,T0031,0.657
S024,T0031,0.915
S041,T0031,0.623
S013,T0031,0.668
S029,T0031,0.768
S010,T0031,0.642
S071,T0032,0.611
S070,T0032,0.689
S024,T0032,0.713
S080,T0032,0.902
S050,T0032,0.811
S039,T0032,0.654
S072,T0032,0.856
S006,T0032,0.926
S065,T0032,0.893
S067,T0032,0.681
S061,T0032,0.821
S054,T0032,0.918
S062,T0032,0.712
S025,T0032,0.924
S013,T0032,0.783
S027,T0032,0.699
S054,T0033,0.676
S012,T0033,0.694
S060,T0033,0.822
S058,T0033,0.818
S056,T0033,0.894
S049,T0033,0.862
S076,T0033,0.884
S061,T0033,0.861
S051,T0033,0.617
S078,T0033,0.824
S064,T0033,0.867
S055,T0033,0.755
S045,T0033,0.922
S006,T0033,0.704
S080,T0033,0.865
S040,T0033,0.741
S057,T0034,0.783
S037,T0034,0.622
S034,T0034,0.936
S015,T0034,0.792
S028,T0034,0.916
S080,T0034,0.703
S049,T0034,0.905
S045,T0034,0.871
S051,T0034,0.84
S013,T0034,0.716
S001,T0034,0.868
S041,T0034,0.899
S030,T0034,0.902
S023,T0034,0.716
S022,T0034,0.891
S070,T0034,0.919
S027,T0035,0.816
S024,T0035,0.691
S052,T0035,0.715
S030,T0035,0.675
S035,T0035,0.795
S013,T0035,0.794
S072,T0035,0.807
S051,T0035,0.777
S063,T0035,0.859
S017,T0035,0.818
S020,T0035,0.875
S014,T0035,0.756
S040,T0035,0.604
S061,T0035,0.913
S022,T0035,0.6
S044,T0035,0.817
S029,T0036,0.912
S013,T0036,0.886
S017,T0036,0.83
S026,T0036,0.843
S015,T0036,0.782
S073,T0036,0.738
S060,T0036,0.77
S047,T0036,0.693
S035,T0036,0.947
S012,T0036,0.708
S019,T0036,0.895
S039,T0036,0.678
S053,T0036,0.82
S068,T0036,0.943
S034,T0036,0.861
S007,T0036,0.87
S067,T0037,0.867
S074,T0037,0.793
S020,T0037,0.879
S050,T0037,0.813
S008,T0037,0.804
S080,T0037,0.644
S057,T0037,0.882
S044,T0037,0.842
S076,T0037,0.863
S015,T0037,0.925
S005,T0037,0.675
S009,T0037,0.697
S022,T0037,0.652
S029,T0037,0.871
S006,T0037,0.62
S034,T0037,0.841
S040,T0038,0.931
S030,T0038,0.858
S058,T0038,0.902
S028,T0038,0.706
S016,T0038,0.629
S049,T0038,0.879
S047,T0038,0.797
S038,T0038,0.7
S063,T0038,0.661
S061,T0038,0.766
S065,T0038,0.935
S080,T0038,0.798
S072,T0038,0.918
S076,T0038,0.697
S007,T0038,0.705
S057,T0038,0.938
S016,T0039,0.699
S038,T0039,0.629
S078,T0039,0.87
S019,T0039,0.704
S029,T0039,0.67
S007,T0039,0.857
S058,T0039,0.872
S028,T0039,0.768
S018,T0039,0.707
S070,T0039,0.606
S059,T0039,0.875
S067,T0039,0.937
S052,T0039,0.912
S057,T0039,0.793
S026,T0039,0.748
S008,T0039,0.703
S021,T0040,0.762
S073,T0040,0.699
S017,T0040,0.795
S007,T0040,0.636
S064,T0040,0.927
S006,T0040,0.798
S045,T0040,0.889
S004,T0040,0.85
S063,T0040,0.621
S077,T0040,0.856
S035,T0040,0.794
S060,T0040,0.808
S044,T0040,0.806
S043,T0040,0.945
S026,T0040,0.637
S053,T0040,0.947
S062,T0041,0.619
S052,T0041,0.898
S031,T0041,0.937
S061,T0041,0.743
S053,T0041,0.92
S078,T0041,0.622
S005,T0041,0.859
S032,T0041,0.673
S020,T0041,0.671
S066,T0041,0.621
S013,T0041,0.835
S067,T0041,0.601
S004,T0041,0.755
S022,T0041,0.694
S074,T0041,0.885
S076,T0041,0.637
S038,T0042,0.762
S009,T0042,0.908
S037,T0042,0.735
S005,T0042,0.807
S057,T0042,0.896
S023,T0042,0.604
S053,T0042,0.923
S012,T0042,0.778
S028,T0042,0.708
S001,T0042,0.819
S060,T0042,0.884
S055,T0042,0.918
S079,T0042,0.873
S004,T0042,0.687
S002,T0042,0.628
S080,T0042,0.88
S076,T0043,0.922
S007,T0043,0.868
S053,T0043,0.815
S055,T0043,0.728
S043,T0043,0.832
S048,T0043,0.701
S008,T0043,0.817
S026,T0043,0.934
S045,T0043,0.769
S066,T0043,0.854
S054,T0043,0.675
S079,T0043,0.812
S072,T0043,0.608
S044,T0043,0.741
S006,T0043,0.679
S012,T0043,0.787
S016,T0044,0.923
S078,T0044,0.907
S048,T0044,0.896
S079,T0044,0.827
S077,T0044,0.688
S056,T0044,0.648
S064,T0044,0.941
S074,T0044,0.949
S058,T0044,0.684
S008,T0044,0.745
S044,T0044,0.9
S019,T0044,0.651
S026,T0044,0.694
S047,T0044,0.692
S017,T0044,0.787
S054,T0044,0.936
S036,T0045,0.805
S060,T0045,0.92
S080,T0045,0.649
S066,T0045,0.632
S029,T0045,0.723
S022,T0045,0.742
S018,T0045,0.644
S070,T0045,0.926
S006,T0045,0.733
S009,T0045,0.678
S076,T0045,0.739
S048,T0045,0.696
S064,T0045,0.748
S028,T0045,0.683
S037,T0045,0.898
S075,T0045,0.783
S066,T0046,0.792
S039,T0046,0.791
S029,T0046,0.889
S049,T0046,0.768
S016,T0046,0.748
S065,T0046,0.86
S056,T0046,0.847
S013,T0046,0.661
S061,T0046,0.815
S009,T0046,0.705
S059,T0046,0.849
S067,T0046,0.691
S003,T0046,0.855
S036,T0046,0.794
S006,T0046,0.806
S022,T0046,0.666
S009,T0047,0.903
S051,T0047,0.773
S031,T0047,0.849
S028,T0047,0.717
S044,T0047,0.622
S076,T0047,0.639
S023,T0047,0.742
S070,T0047,0.602
S008,T0047,0.732
S015,T0047,0.646
S072,T0047,0.737
S026,T0047,0.858
S040,T0047,0.793
S018,T0047,0.79
S033,T0047,0.807
S047,T0047,0.685
S035,T0048,0.602
S072,T0048,0.882
S011,T0048,0.665
S049,T0048,0.884
S071,T0048,0.727
S002,T0048,0.75
S066,T0048,0.648
S045,T0048,0.609
S047,T0048,0.932
S050,T0048,0.933
S052,T0048,0.85
S063,T0048,0.639
S073,T0048,0.842
S067,T0048,0.712
S064,T0048,0.92
S075,T0048,0.883
S060,T0049,0.713
S028,T0049,0.607
S005,T0049,0.802
S033,T0049,0.657
S080,T0049,0.875
S039,T0049,0.856
S072,T0049,0.852
S007,T0049,0.876
S073,T0049,0.66
S010,T0049,0.796
S003,T0049,0.875
S051,T0049,0.683
S029,T0049,0.67
S044,T0049,0.726
S020,T0049,0.637
S066,T0049,0.655
S060,T0050,0.884
S045,T0050,0.715
S051,T0050,0.778
S016,T0050,0.945
S008,T0050,0.823
S020,T0050,0.886
S017,T0050,0.887
S044,T0050,0.845
S021,T0050,0.791
S028,T0050,0.705
S018,T0050,0.839
S065,T0050,0.793
S077,T0050,0.781
S057,T0050,0.804
S006,T0050,0.925
S076,T0050,0.845
S004,T0051,0.886
S024,T0051,0.795
S054,T0051,0.793
S067,T0051,0.613
S046,T0051,0.823
S015,T0051,0.827
S069,T0051,0.867
S053,T0051,0.896
S075,T0051,0.724
S056,T0051,0.676
S065,T0051,0.892
S063,T0051,0.659
S025,T0051,0.609
S016,T0051,0.713
S006,T0051,0.737
S055,T0051,0.788
S013,T0052,0.815
S054,T0052,0.7
S073,T0052,0.666
S069,T0052,0.85
S067,T0052,0.694
S006,T0052,0.685
S034,T0052,0.621
S004,T0052,0.651
S077,T0052,0.682
S014,T0052,0.642
S038,T0052,0.937
S040,T0052,0.7
S021,T0052,0.656
S059,T0052,0.894
S016,T0052,0.938
S026,T0052,0.883
S011,T0053,0.704
S026,T0053,0.774
S078,T0053,0.809
S052,T0053,0.62
S022,T0053,0.899
S053,T0053,0.62
S055,T0053,0.807
S080,T0053,0.796
S027,T0053,0.758
S031,T0053,0.901
S048,T0053,0.88
S058,T0053,0.605
S032,T0053,0.739
S029,T0053,0.718
S050,T0053,0.876
S018,T0053,0.945
S007,T0054,0.707
S029,T0054,0.675
S017,T0054,0.921
S059,T0054,0.797
S021,T0054,0.858
S027,T0054,0.927
S005,T0054,0.751
S032,T0054,0.606
S018,T0054,0.821
S072,T0054,0.942
S020,T0054,0.738
S066,T0054,0.838
S016,T0054,0.734
S009,T0054,0.712
S003,T0054,0.896
S061,T0054,0.843
S029,T0055,0.757
S003,T0055,0.726
S054,T0055,0.743
S048,T0055,0.799
S037,T0055,0.913
S045,T0055,0.625
S067,T0055,0.861
S036,T0055,0.694
S028,T0055,0.849
S079,T0055,0.631
S051,T0055,0.691
S018,T0055,0.794
S046,T0055,0.9
S060,T0055,0.743
S043,T0055,0.732
S052,T0055,0.847
S051,T0056,0.724
S041,T0056,0.838
S078,T0056,0.869
S026,T0056,0.729
S034,T0056,0.811
S037,T0056,0.874
S018,T0056,0.675
S068,T0056,0.93
S075,T0056,0.861
S009,T0056,0.82
S079,T0056,0.636
S036,T0056,0.844
S049,T0056,0.692
S072,T0056,0.871
S040,T0056,0.708
S021,T0056,0.746
S035,T0057,0.797
S063,T0057,0.643
S017,T0057,0.643
S071,T0057,0.84
S049,T0057,0.687
S039,T0057,0.731
S014,T0057,0.714
S002,T0057,0.721
S073,T0057,0.698
S055,T0057,0.842
S038,T0057,0.733
S043,T0057,0.783
S057,T0057,0.823
S059,T0057,0.842
S046,T0057,0.79
S009,T0057,0.764
S073,T0058,0.815
S065,T0058,0.704
S074,T0058,0.891
S042,T0058,0.61
S044,T0058,0.817
S070,T0058,0.852
S045,T0058,0.81
S039,T0058,0.701
S033,T0058,0.932
S049,T0058,0.61
S056,T0058,0.825
S036,T0058,0.71
S007,T0058,0.605
S014,T0058,0.745
S018,T0058,0.749
S055,T0058,0.835
S023,T0059,0.69
S018,T0059,0.618
S017,T0059,0.602
S043,T0059,0.781
S071,T0059,0.933
S057,T0059,0.806
S014,T0059,0.806
S007,T0059,0.697
S034,T0059,0.865
S013,T0059,0.898
S040,T0059,0.695
S058,T0059,0.727
S012,T0059,0.622
S006,T0059,0.727
S061,T0059,0.633
S032,T0059,0.696
S032,T0060,0.668
S011,T0060,0.814
S026,T0060,0.873
S006,T0060,0.865
S059,T0060,0.746
S004,T0060,0.612
S048,T0060,0.604
S034,T0060,0.646
S068,T0060,0.764
S035,T0060,0.678
S033,T0060,0.888
S038,T0060,0.728
S080,T0060,0.697
S044,T0060,0.858
S053,T0060,0.753
S061,T0060,0.638
S013,T0061,0.736
S062,T0061,0.726
S044,T0061,0.94
S002,T0061,0.875
S051,T0061,0.758
S022,T0061,0.832
S065,T0061,0.806
S056,T0061,0.687
S059,T0061,0.612
S016,T0061,0.727
S029,T0061,0.798
S046,T0061,0.888
S023,T0061,0.648
S032,T0061,0.922
S048,T0061,0.947
S055,T0061,0.92
S008,T0062,0.65
S068,T0062,0.729
S034,T0062,0.766
S005,T0062,0.853
S032,T0062,0.643
S076,T0062,0.798
S029,T0062,0.9
S064,T0062,0.85
S028,T0062,0.783
S058,T0062,0.871
S019,T0062,0.815
S031,T0062,0.67
S046,T0062,0.622
S045,T0062,0.74
S012,T0062,0.606
S018,T0062,0.637
S067,T0063,0.749
S054,T0063,0.896
S050,T0063,0.937
S022,T0063,0.882
S039,T0063,0.775
S029,T0063,0.833
S070,T0063,0.716
S024,T0063,0.697
S073,T0063,0.611
S032,T0063,0.658
S001,T0063,0.605
S065,T0063,0.93
S002,T0063,0.738
S041,T0063,0.915
S031,T0063,0.869
S077,T0063,0.612
S002,T0064,0.647
S008,T0064,0.763
S069,T0064,0.709
S030,T0064,0.737
S019,T0064,0.943
S054,T0064,0.772
S041,T0064,0.86
S047,T0064,0.757
S034,T0064,0.945
S039,T0064,0.647
S036,T0064,0.943
S004,T0064,0.939
S014,T0064,0.786
S077,T0064,0.63
S024,T0064,0.703
S011,T0064,0.772
S038,T0065,0.83
S041,T0065,0.791
S075,T0065,0.646
S020,T0065,0.942
S053,T0065,0.605
S005,T0065,0.856
S066,T0065,0.9
S055,T0065,0.699
S078,T0065,0.688
S080,T0065,0.688
S035,T0065,0.789
S019,T0065,0.921
S062,T0065,0.744
S042,T0065,0.751
S049,T0065,0.925
S006,T0065,0.609
S060,T0066,0.928
S011,T0066,0.689
S050,T0066,0.923
S056,T0066,0.885
S004,T0066,0.832
S003,T0066,0.763
S001,T0066,0.796
S039,T0066,0.602
S015,T0066,0.922
S044,T0066,0.752
S008,T0066,0.796
S063,T0066,0.631
S073,T0066,0.937
S062,T0066,0.69
S051,T0066,0.684
S006,T0066,0.749
S073,T0067,0.79
S069,T0067,0.665
S029,T0067,0.801
S056,T0067,0.747
S028,T0067,0.682
S014,T0067,0.832
S024,T0067,0.801
S064,T0067,0.743
S009,T0067,0.677
S026,T0067,0.765
S034,T0067,0.689
S047,T0067,0.856
S018,T0067,0.81
S041,T0067,0.705
S071,T0067,0.916
S050,T0067,0.664
S005,T0068,0.67
S078,T0068,0.853
S047,T0068,0.636
S021,T0068,0.717
S072,T0068,0.734
S075,T0068,0.612
S023,T0068,0.754
S018,T0068,0.711
S056,T0068,0.945
S035,T0068,0.692
S022,T0068,0.678
S008,T0068,0.864
S048,T0068,0.655
S025,T0068,0.745
S043,T0068,0.93
S034,T0068,0.663
S038,T0069,0.684
S080,T0069,0.787
S049,T0069,0.61
S056,T0069,0.792
S052,T0069,0.752
S046,T0069,0.928
S002,T0069,0.931
S033,T0069,0.609
S013,T0069,0.733
S063,T0069,0.646
S035,T0069,0.866
S044,T0069,0.773
S017,T0069,0.949
S051,T0069,0.914
S024,T0069,0.706
S077,T0069,0.79
S025,T0070,0.766
S047,T0070,0.688
S011,T0070,0.823
S073,T0070,0.817
S069,T0070,0.639
S035,T0070,0.612
S004,T0070,0.66
S044,T0070,0.699
S045,T0070,0.709
S018,T0070,0.702
S034,T0070,0.836
S037,T0070,0.765
S031,T0070,0.762
S052,T0070,0.622
S012,T0070,0.613
S009,T0070,0.892
S064,T0071,0.678
S051,T0071,0.623
S041,T0071,0.613
S027,T0071,0.747
S063,T0071,0.638
S079,T0071,0.894
S061,T0071,0.873
S015,T0071,0.745
S037,T0071,0.82
S046,T0071,0.793
S062,T0071,0.835
S053,T0071,0.685
S059,T0071,0.699
S001,T0071,0.933
S012,T0071,0.78
S016,T0071,0.628
S026,T0072,0.912
S036,T0072,0.832
S047,T0072,0.619
S022,T0072,0.754
S034,T0072,0.601
S067,T0072,0.637
S044,T0072,0.637
S074,T0072,0.887
S051,T0072,0.743
S049,T0072,0.856
S071,T0072,0.655
S041,T0072,0.93
S075,T0072,0.794
S055,T0072,0.677
S010,T0072,0.622
S020,T0072,0.629
S037,T0073,0.78
S069,T0073,0.61
S021,T0073,0.667
S010,T0073,0.789
S036,T0073,0.869
S059,T0073,0.889
S024,T0073,0.786
S075,T0073,0.636
S064,T0073,0.729
S080,T0073,0.853
S028,T0073,0.885
S070,T0073,0.891
S044,T0073,0.628
S020,T0073,0.654
S001,T0073,0.756
S066,T0073,0.792
S077,T0074,0.722
S017,T0074,0.725
S047,T0074,0.823
S054,T0074,0.931
S051,T0074,0.848
S061,T0074,0.924
S033,T0074,0.703
S053,T0074,0.735
S078,T0074,0.829
S023,T0074,0.859
S027,T0074,0.729
S050,T0074,0.698
S024,T0074,0.856
S045,T0074,0.855
S073,T0074,0.811
S070,T0074,0.776
S076,T0075,0.603
S074,T0075,0.786
S059,T0075,0.837
S060,T0075,0.759
S012,T0075,0.651
S002,T0075,0.696
S021,T0075,0.885
S065,T0075,0.879
S043,T0075,0.751
S062,T0075,0.733
S015,T0075,0.689
S057,T0075,0.647
S036,T0075,0.831
S032,T0075,0.618
S033,T0075,0.906
S027,T0075,0.77
S059,T0076,0.642
S032,T0076,0.712
S024,T0076,0.769
S039,T0076,0.8
S030,T0076,0.846
S038,T0076,0.66
S046,T0076,0.917
S073,T0076,0.705
S002,T0076,0.931
S058,T0076,0.863
S006,T0076,0.943
S079,T0076,0.646
S067,T0076,0.816
S016,T0076,0.779
S055,T0076,0.732
S078,T0076,0.868
S026,T0077,0.647
S036,T0077,0.842
S021,T0077,0.616
S016,T0077,0.622
S015,T0077,0.73
S059,T0077,0.874
S040,T0077,0.904
S027,T0077,0.849
S034,T0077,0.857
S042,T0077,0.888
S017,T0077,0.82
S038,T0077,0.779
S055,T0077,0.907
S064,T0077,0.816
S069,T0077,0.874
S056,T0077,0.819
S021,T0078,0.714
S073,T0078,0.94
S031,T0078,0.923
S023,T0078,0.898
S042,T0078,0.902
S036,T0078,0.947
S066,T0078,0.893
S049,T0078,0.833
S018,T0078,0.618
S001,T0078,0.872
S037,T0078,0.81
S033,T0078,0.65
S077,T0078,0.744
S078,T0078,0.851
S013,T0078,0.75
S072,T0078,0.852
S004,T0079,0.904
S069,T0079,0.604
S067,T0079,0.861
S037,T0079,0.755
S028,T0079,0.757
S072,T0079,0.787
S019,T0079,0.79
S074,T0079,0.947
S022,T0079,0.874
S052,T0079,0.806
S005,T0079,0.71
S012,T0079,0.777
S070,T0079,0.795
S025,T0079,0.822
S030,T0079,0.861
S080,T0079,0.672
S004,T0080,0.89
S059,T0080,0.782
S015,T0080,0.736
S025,T0080,0.646
S034,T0080,0.892
S026,T0080,0.631
