task_id,module,hours,period,slot_type,campus,day,type,must_assign,pred_hours_p50,pred_hours_p80,allocated_staff_id,allocated_hours,allocated_module,allocated_period,unassigned,allocated_staff_name,allocated_staff_target_hours
T0024,M08,6,T3,midday,South,Tue,admin,1,10.0,12.0,S028,10.0,M08,T3,0,Staff_028,80
T0025,M09,12,T3,evening,South,Mon,admin,1,10.0,12.0,S063,10.0,M09,T3,0,Staff_063,52
T0026,M09,6,T3,morning,North,Fri,teaching,1,10.0,12.0,S048,10.0,M09,T3,0,Staff_048,54
T0027,M09,10,T1,evening,City,Tue,teaching,1,10.0,12.0,S040,10.0,M09,T1,0,Staff_040,65
T0028,M10,12,T3,morning,South,Thu,teaching,1,8.000053122797777,12.0,S040,8.000053122797777,M10,T3,0,Staff_040,65
T0029,M10,12,T2,morning,South,Fri,teaching,1,10.0,12.0,S034,10.0,M10,T2,0,Staff_034,53
T0030,M10,12,T1,midday,North,Tue,teaching,1,10.0,12.0,S034,10.0,M10,T1,0,Staff_034,53
T0031,M11,8,T3,evening,North,Wed,teaching,1,8.000053122797777,12.0,S016,8.000053122797777,M11,T3,0,Staff_016,78
T0032,M11,10,T1,morning,North,Thu,teaching,1,10.0,10.000053122797777,S016,10.0,M11,T1,0,Staff_016,78
T0033,M11,8,T2,morning,City,Thu,teaching,1,8.000053122797777,10.000053122797777,S016,8.000053122797777,M11,T2,0,Staff_016,78
T0034,M12,12,T2,morning,South,Tue,teaching,1,10.0,12.0,S041,10.0,M12,T2,0,Staff_041,85
T0035,M12,6,T3,morning,North,Wed,admin,1,8.879236054546913,12.0,S057,8.879236054546913,M12,T3,0,Staff_057,59
T0036,M12,8,T3,morning,City,Thu,teaching,1,8.000053122797777,9.620053122797778,S041,8.000053122797777,M12,T3,0,Staff_041,85
T0037,M13,6,T2,morning,South,Mon,teaching,1,10.0,12.0,S066,10.0,M13,T2,0,Staff_066,66
T0038,M13,8,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0,S045,8.879236054546913,M13,T3,0,Staff_045,69
T0039,M13,6,T2,morning,City,Mon,admin,1,10.0,12.0,S052,10.0,M13,T2,0,Staff_052,51
T0040,M14,12,T2,morning,City,Wed,teaching,1,8.879236054546913,12.0,S039,8.879236054546913,M14,T2,0,Staff_039,67
T0041,M14,8,T1,morning,South,Tue,teaching,1,10.0,12.0,S007,10.0,M14,T1,0,Staff_007,59
T0042,M14,6,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0,S011,8.879236054546913,M14,T3,0,Staff_011,80
T0043,M15,6,T3,morning,North,Mon,teaching,1,10.0,12.0,S018,10.0,M15,T3,0,Staff_018,57
T0044,M15,10,T1,morning,South,Fri,teaching,1,10.0,12.0,S039,10.0,M15,T1,0,Staff_039,67
T0045,M15,12,T3,midday,South,Mon,teaching,1,10.0,12.0,S071,10.0,M15,T3,0,Staff_071,57
T0046,M16,8,T1,morning,South,Tue,admin,1,10.0,12.0,S001,10.0,M16,T1,0,Staff_001,83
T0047,M16,10,T2,morning,North,Fri,teaching,1,10.0,12.0,S010,10.0,M16,T2,0,Staff_010,81
T0048,M16,10,T1,evening,City,Thu,teaching,1,10.0,10.000053122797777,S073,10.0,M16,T1,0,Staff_073,55
T0049,M17,12,T3,morning,City,Fri,teaching,1,10.0,12.0,S072,10.0,M17,T3,0,Staff_072,98
T0050,M17,8,T2,morning,South,Wed,teaching,1,8.879236054546913,12.0,S005,8.879236054546913,M17,T2,0,Staff_005,54
T0051,M17,12,T3,midday,South,Wed,teaching,1,8.879236054546913,12.0,S005,8.879236054546913,M17,T3,0,Staff_005,54
T0052,M18,10,T1,midday,North,Tue,teaching,1,10.0,12.0,S011,10.0,M18,T1,0,Staff_011,80
T0053,M18,8,T1,morning,North,Wed,teaching,1,8.879236054546913,12.0,S070,8.879236054546913,M18,T1,0,Staff_070,86
T0054,M18,10,T2,midday,City,Fri,teaching,1,10.0,12.0,S068,10.0,M18,T2,0,Staff_068,94
T0055,M19,12,T3,morning,City,Wed,teaching,1,8.879236054546913,12.0,S052,8.879236054546913,M19,T3,0,Staff_052,51
T0056,M19,10,T2,morning,North,Tue,admin,1,10.0,12.0,S002,10.0,M19,T2,0,Staff_002,68
T0057,M19,6,T3,evening,City,Wed,teaching,1,8.000053122797777,12.0,S002,8.000053122797777,M19,T3,0,Staff_002,68
T0058,M20,10,T1,midday,City,Fri,admin,1,10.0,12.0,S012,10.0,M20,T1,0,Staff_012,82
T0059,M20,8,T3,morning,South,Thu,teaching,1,8.000053122797777,10.000053122797777,S031,8.000053122797777,M20,T3,0,Staff_031,71
T0060,M20,10,T1,midday,South,Wed,admin,1,8.879236054546913,12.0,S017,8.879236054546913,M20,T1,0,Staff_017,53
T0061,M21,10,T2,morning,North,Tue,teaching,1,10.0,12.0,S042,10.0,M21,T2,0,Staff_042,78
T0062,M21,10,T1,midday,North,Tue,admin,1,10.0,12.0,S050,10.0,M21,T1,0,Staff_050,83
T0063,M21,10,T3,morning,South,Wed,teaching,1,8.879236054546913,12.0,S050,8.879236054546913,M21,T3,0,Staff_050,83
T0064,M22,10,T3,midday,North,Thu,teaching,1,8.000053122797777,10.000053122797777,S025,8.000053122797777,M22,T3,0,Staff_025,63
T0065,M22,10,T3,evening,South,Wed,teaching,1,8.000053122797777,12.0,S076,8.000053122797777,M22,T3,0,Staff_076,78
T0066,M22,6,T1,evening,City,Mon,teaching,1,8.000080967532046,12.0,S025,8.000080967532046,M22,T1,0,Staff_025,63
T0067,M23,12,T3,morning,South,Tue,teaching,1,10.0,12.0,S007,10.0,M23,T3,0,Staff_007,59
T0068,M23,8,T1,morning,South,Mon,teaching,1,6.785942967532047,12.0,S035,6.785942967532047,M23,T1,0,Staff_035,85
T0069,M23,6,T1,midday,City,Mon,teaching,1,6.785942967532047,12.0,S002,6.785942967532047,M23,T1,0,Staff_002,68
T0070,M24,12,T3,midday,North,Tue,teaching,1,10.0,12.0,S046,10.0,M24,T3,0,Staff_046,58
T0071,M24,12,T3,morning,South,Thu,teaching,1,8.000053122797777,10.000053122797777,S064,8.000053122797777,M24,T3,0,Staff_064,81
T0072,M24,10,T3,evening,North,Thu,teaching,1,8.000053122797777,10.000053122797777,S009,8.000053122797777,M24,T3,0,Staff_009,63
T0073,M25,8,T1,morning,City,Wed,teaching,1,8.879236054546913,12.0,S048,8.879236054546913,M25,T1,0,Staff_048,54
T0074,M25,8,T2,morning,South,Tue,teaching,1,10.0,12.0,S061,10.0,M25,T2,0,Staff_061,67
T0075,M25,12,T3,morning,South,Tue,teaching,1,10.0,12.0,S013,10.0,M25,T3,0,Staff_013,50
T0076,M26,8,T1,midday,South,Fri,admin,1,10.0,12.0,S055,10.0,M26,T1,0,Staff_055,79
T0077,M26,12,T1,morning,South,Tue,teaching,1,10.0,12.0,S018,10.0,M26,T1,0,Staff_018,57
T0078,M26,10,T3,midday,North,Tue,teaching,1,10.0,12.0,S036,10.0,M26,T3,0,Staff_036,52
T0079,M27,10,T1,midday,North,Thu,teaching,1,10.0,10.000053122797777,S006,10.0,M27,T1,0,Staff_006,77
T0080,M27,10,T1,morning,North,Tue,teaching,1,10.0,12.0,S061,10.0,M27,T1,0,Staff_061,67
T0081,M27,8,T3,evening,South,Fri,teaching,1,10.0,12.0,S006,10.0,M27,T3,0,Staff_006,77
T0082,M28,6,T1,morning,City,Wed,teaching,1,7.999979671983566,12.0,S043,7.999979671983566,M28,T1,0,Staff_043,58
T0083,M28,10,T1,morning,South,Thu,teaching,1,10.0,10.000053122797777,S036,10.0,M28,T1,0,Staff_036,52
T0084,M28,8,T3,morning,North,Wed,teaching,1,7.999979671983566,12.0,S034,7.999979671983566,M28,T3,0,Staff_034,53
T0085,M29,10,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0,S075,8.879236054546913,M29,T3,0,Staff_075,51
T0086,M29,10,T1,morning,North,Thu,admin,1,10.0,10.000053122797777,S044,10.0,M29,T1,0,Staff_044,78
T0087,M29,6,T2,evening,South,Tue,teaching,1,10.0,12.0,S045,10.0,M29,T2,0,Staff_045,69
T0088,M30,8,T3,morning,North,Mon,teaching,1,10.0,12.0,S061,10.0,M30,T3,0,Staff_061,67
T0089,M30,12,T2,morning,City,Wed,admin,1,8.879236054546913,12.0,S026,8.879236054546913,M30,T2,0,Staff_026,82
T0090,M30,8,T3,morning,North,Mon,teaching,1,10.0,12.0,S026,10.0,M30,T3,0,Staff_026,82
T0091,M31,12,T3,midday,City,Wed,teaching,1,8.879236054546913,12.0,S049,8.879236054546913,M31,T3,0,Staff_049,55
T0092,M31,12,T1,evening,City,Wed,teaching,1,8.000053122797777,12.0,S053,8.000053122797777,M31,T1,0,Staff_053,59
T0093,M31,8,T3,morning,City,Thu,teaching,1,8.000053122797777,10.000053122797777,S059,8.000053122797777,M31,T3,0,Staff_059,70
T0094,M32,10,T3,morning,North,Fri,admin,1,10.0,12.0,S062,10.0,M32,T3,0,Staff_062,69
T0095,M32,8,T2,midday,North,Fri,teaching,1,10.0,12.0,S008,10.0,M32,T2,0,Staff_008,82
T0096,M32,12,T1,midday,South,Fri,teaching,1,10.0,12.0,S075,10.0,M32,T1,0,Staff_075,51
T0097,M33,12,T2,morning,North,Mon,teaching,1,10.0,12.0,S079,10.0,M33,T2,0,Staff_079,55
T0098,M33,12,T1,midday,City,Fri,admin,1,10.0,12.0,S027,10.0,M33,T1,0,Staff_027,69
T0099,M33,6,T2,midday,City,Wed,teaching,1,8.879236054546913,12.0,S011,8.879236054546913,M33,T2,0,Staff_011,80
T0100,M34,10,T2,morning,North,Tue,teaching,1,10.0,12.0,S024,10.0,M34,T2,0,Staff_024,66
T0101,M34,12,T3,midday,South,Tue,teaching,1,10.0,12.0,S032,10.0,M34,T3,0,Staff_032,73
T0102,M34,8,T3,evening,City,Wed,teaching,1,8.000053122797777,12.0,S054,8.000053122797777,M34,T3,0,Staff_054,50
T0103,M35,8,T1,morning,South,Mon,teaching,1,8.000080967532046,12.0,S003,8.000080967532046,M35,T1,0,Staff_003,54
T0104,M35,12,T1,evening,North,Mon,teaching,1,8.000080967532046,12.0,S074,8.000080967532046,M35,T1,0,Staff_074,70
T0105,M35,10,T1,morning,South,Fri,teaching,1,10.0,12.0,S030,10.0,M35,T1,0,Staff_030,74
T0106,M36,10,T3,midday,City,Fri,teaching,1,10.0,12.0,S060,10.0,M36,T3,0,Staff_060,52
T0107,M36,6,T2,morning,City,Thu,teaching,1,8.000053122797777,9.600053122797778,S018,8.000053122797777,M36,T2,0,Staff_018,57
T0108,M36,6,T1,morning,South,Mon,admin,1,8.000080967532046,12.0,S058,8.000080967532046,M36,T1,0,Staff_058,61
T0109,M37,6,T2,midday,City,Fri,teaching,1,10.0,12.0,S056,10.0,M37,T2,0,Staff_056,81
T0110,M37,8,T3,evening,South,Tue,teaching,1,10.0,12.0,S029,10.0,M37,T3,0,Staff_029,57
T0111,M37,8,T3,midday,South,Tue,teaching,1,10.0,12.0,S020,10.0,M37,T3,0,Staff_020,63
T0112,M38,12,T1,morning,City,Tue,teaching,1,10.0,12.0,S005,10.0,M38,T1,0,Staff_005,54
T0113,M38,8,T3,midday,North,Thu,teaching,1,8.000053122797777,9.620053122797778,S038,8.000053122797777,M38,T3,0,Staff_038,78
T0114,M38,8,T1,evening,North,Wed,teaching,1,8.000053122797777,12.0,S038,8.000053122797777,M38,T1,0,Staff_038,78
T0115,M39,8,T1,midday,North,Wed,teaching,1,8.000053122797777,12.0,S009,8.000053122797777,M39,T1,0,Staff_009,63
T0116,M39,8,T3,morning,South,Wed,teaching,1,8.000053122797777,12.0,S023,8.000053122797777,M39,T3,0,Staff_023,84
T0117,M39,10,T2,evening,North,Fri,admin,1,10.0,12.0,S009,10.0,M39,T2,0,Staff_009,63
T0118,M40,8,T2,evening,South,Wed,teaching,1,8.000053122797777,12.0,S050,8.000053122797777,M40,T2,0,Staff_050,83
T0119,M40,12,T1,midday,City,Fri,admin,1,10.0,12.0,S004,10.0,M40,T1,0,Staff_004,70
T0120,M40,6,T1,evening,North,Tue,admin,1,10.0,12.0,S024,10.0,M40,T1,0,Staff_024,66
